> 2022/06/14 12:00:00.000   45
G05    1.500    0.574
G10    5.176    0.126
G13    0.712    0.558
G15    0.197    1.113
G18    5.216    1.169
G20    1.849    0.144
G23    5.449    0.577
G24    2.833    0.923
G29    3.767    0.331
R03    0.732    0.467
R04    5.926    0.833
R05    4.906    0.403
R13    1.071    0.383
R14    2.119    0.411
R18    3.337    0.592
R19    4.460    1.066
R20    5.726    0.374
E04    4.820    0.964
E09    4.324    0.146
E11    5.490    0.662
E12    3.732    1.258
E19    0.552    0.872
E21    1.703    0.160
E33    2.781    0.461
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.754    1.046
C08    0.775    1.332
C09    3.723    0.862
C13    6.215    1.290
C16    3.751    1.180
C20    0.753    0.810
C22    4.843    0.187
C29    3.755    0.655
C35    4.924    0.640
C36    3.152    0.128
C37    1.252    0.462
C38    1.737    1.270
C39    3.946    1.342
C46    2.382    0.555
C59    2.371    0.794
C60    4.081    0.678
> 2022/06/14 12:00:01.000   45
G05    1.500    0.574
G10    5.176    0.126
G13    0.712    0.558
G15    0.197    1.113
G18    5.215    1.169
G20    1.849    0.144
G23    5.449    0.577
G24    2.833    0.923
G29    3.767    0.331
R03    0.733    0.467
R04    5.926    0.833
R05    4.906    0.403
R13    1.071    0.383
R14    2.119    0.411
R18    3.337    0.592
R19    4.460    1.066
R20    5.726    0.374
E04    4.820    0.964
E09    4.324    0.146
E11    5.490    0.662
E12    3.732    1.258
E19    0.552    0.871
E21    1.703    0.160
E33    2.781    0.461
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.754    1.046
C08    0.776    1.332
C09    3.723    0.862
C13    6.215    1.290
C16    3.751    1.180
C20    0.753    0.810
C22    4.843    0.187
C29    3.755    0.655
C35    4.924    0.640
C36    3.152    0.128
C37    1.252    0.462
C38    1.738    1.270
C39    3.946    1.342
C46    2.381    0.555
C59    2.371    0.794
C60    4.081    0.678
> 2022/06/14 12:00:02.000   45
G05    1.500    0.574
G10    5.176    0.126
G13    0.712    0.558
G15    0.197    1.113
G18    5.215    1.169
G20    1.849    0.144
G23    5.449    0.577
G24    2.833    0.923
G29    3.767    0.331
R03    0.733    0.467
R04    5.926    0.833
R05    4.906    0.404
R13    1.070    0.383
R14    2.118    0.411
R18    3.337    0.592
R19    4.459    1.066
R20    5.725    0.374
E04    4.820    0.964
E09    4.325    0.146
E11    5.490    0.662
E12    3.731    1.258
E19    0.552    0.871
E21    1.703    0.160
E33    2.781    0.460
